u034;1-2	锤子手机怎么样	0	0	["1-2-0", "1-2-1", "1-2-2", "1-2-3", "1-2-4", "1-2-5", "1-2-6"]	[-1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1]	[735.9047775268555, 352.28570556640625, 444.71435546875, 229.8570556640625, 620.8572998046875, 659.5712890625, 426.0476188659668]	[8343.787402202193, 3217.1995106994978, 3450.870558677231, 1229.2091700850804, 5763.716124833048, 7931.863480510294, 4049.806799324198]	[11338.134575295242, 9132.358934424752, 7759.746264632835, 5347.711283144499, 9283.479676644258, 12025.786464696588, 9505.526190015522]
u034;1-0	锤子手机怎么样	0	0	["1-0-0", "1-0-1", "1-0-2", "1-0-3", "1-0-4", "1-0-5", "1-0-6", "1-0-7"]	[-1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1]	[482.5714645385742, 659.5714111328125, 674.5714111328125, 444.7142333984375, 567.14306640625, 229.85693359375, 513.4287109375, 303.6189079284668]	[4409.668096537467, 6689.672643291747, 5441.9088071874885, 4813.186687130272, 3581.286969322255, 1166.379316671804, 3527.4933168759644, 1217.223770042659]	[9137.855054802938, 10142.453918374431, 8067.209367869375, 10823.100152087874, 6314.6094547454895, 5074.3708203001925, 6870.463691901656, 4009.0512753225476]
u034;1-1	锤子手机怎么样	0	0	["1-1-0", "1-1-1", "1-1-2", "1-1-3"]	[-1, -1, -1, -1]	[1, 1, 1, 1]	[789.6190719604492, 2324.7142333984375, 728.285888671875, 1891.3335075378418]	[7604.104334400313, 25446.737380233284, 5912.317051305382, 14723.651794692762]	[9630.092033518144, 10946.178680651592, 8118.126608339575, 7784.799315410093]
u005;37-0	深圳哪种特色小吃好吃	0	0	["37-0-0", "37-0-1", "37-0-2", "37-0-3", "37-0-4", "37-0-5"]	[-1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1]	[981.2380905151367, 904.4285888671875, 958.1429443359375, 1119.28564453125, 743.285888671875, 924.4763298034668]	[5865.633438536365, 4029.9841504730803, 3409.514105897067, 3853.083142271621, 1731.0190927935587, 3280.3041387864296]	[5977.788158893208, 4455.834545788414, 3558.4607975797467, 3442.44845906629, 2328.8738817396284, 3548.283534186089]
u005;37-1	深圳哪种特色小吃好吃	0	0	["37-1-0", "37-1-1", "37-1-2", "37-1-3", "37-1-4", "37-1-5", "37-1-6", "37-1-7", "37-1-8", "37-1-9", "37-1-10", "37-1-11", "37-1-12", "37-1-13"]	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[697.428581237793, 352.28570556640625, 283.5714111328125, 337.2857666015625, 283.5714111328125, 421.0, 406.0, 337.28564453125, 283.571533203125, 367.28564453125, 352.285888671875, 337.28564453125, 283.5712890625, 563.4763298034668]	[15177.826337114744, 7316.4799824668125, 4007.681945118135, 3406.7740711350907, 3068.171197852922, 4845.625137529402, 5273.596031987832, 2923.731044541885, 653.4012238688496, 784.2970504935751, 1660.736874041072, 2821.025682292027, 2669.1342301306076, 2766.7073185245754]	[21762.552819640987, 20768.59738235291, 14132.884302787177, 10100.556882258039, 10819.747962589658, 11509.798426435635, 12989.15278814737, 8668.412344098437, 2304.184825917671, 2135.387163020046, 4714.1737078998085, 8363.906759840336, 9412.568666436191, 4910.06839540104]
u005;37-2	深圳哪种特色小吃好吃	0	0	["37-2-0", "37-2-1", "37-2-2", "37-2-3", "37-2-4", "37-2-5", "37-2-6", "37-2-7", "37-2-8", "37-2-9", "37-2-10"]	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[574.7618942260742, 459.71435546875, 513.4285888671875, 620.857177734375, 674.5712890625, 459.71435546875, 513.4287109375, 620.85693359375, 728.28564453125, 620.857421875, 479.7619743347168]	[13688.877166435112, 9561.407597819933, 6521.583287541772, 7896.209390484707, 10278.37518030867, 5071.687902917278, 1084.7318196130966, 2307.7363524812836, 2454.179376476739, 2876.2560229620894, 1398.841306059275]	[23816.60528290136, 20798.58391211342, 12702.026005078498, 12718.238064508598, 15236.899860640771, 11032.259146543089, 2112.7213895623804, 3717.01792733996, 3369.803311249303, 4632.715856525879, 2915.69857740193]
u029;39-2	舒淇近况	0	0	["39-2-0", "39-2-1", "39-2-2", "39-2-3", "39-2-4", "39-2-5", "39-2-6"]	[-1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1]	[697.428581237793, 498.42852783203125, 552.1429443359375, 605.857177734375, 552.142822265625, 552.142822265625, 518.4763298034668]	[3421.7620396266075, 1257.315506152211, 4143.524020111356, 5430.643859246243, 2874.9985854875763, 3223.6174252648943, 3059.3023086265666]	[4906.254391745289, 2522.5592756920246, 7504.440765959209, 8963.571050778557, 5206.98353677859, 5838.376041976464, 5900.563116904918]
u029;39-1	舒淇近况	0	0	["39-1-0", "39-1-1", "39-1-2", "39-1-3", "39-1-4", "39-1-5", "39-1-6", "39-1-7", "39-1-8", "39-1-9", "39-1-10"]	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[605.2380905151367, 552.142822265625, 620.857177734375, 283.571533203125, 391.0, 498.428466796875, 337.285888671875, 337.28564453125, 498.428466796875, 767.0, 357.3332633972168]	[5950.847134552534, 2561.877560045705, 2225.47180650529, 907.97802458666, 1082.3461348996077, 1747.4916573860194, 900.0024626128958, 2335.1117084260954, 4261.372149648338, 3445.059852451966, 1069.915203209837]	[9832.241605097237, 4639.882031850876, 3584.514903454054, 3201.9364367447515, 2768.148682607692, 3506.0029147536156, 2668.366785686826, 6923.246649501989, 8549.616311110452, 4491.603458216384, 2994.1662666330167]
u029;39-0	舒淇近况	0	0	["39-0-0", "39-0-1", "39-0-2", "39-0-3", "39-0-4", "39-0-5", "39-0-6"]	[-1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1]	[413.6190719604492, 659.5714111328125, 552.142822265625, 498.4287109375, 552.142822265625, 337.28564453125, 509.7619743347168]	[955.2338179953215, 2026.6092465782629, 1509.247445632455, 2049.291703766047, 2702.7329156826863, 4300.689315151802, 9996.714971152302]	[2309.4530275592856, 3072.6153565351865, 2733.4366848046902, 4111.504130473367, 4894.988772275401, 12750.881589190602, 19610.55448319556]
u023;7-2	厄瓜多尔的历史	0	0	["7-2-0", "7-2-1", "7-2-2", "7-2-3", "7-2-4", "7-2-5", "7-2-6"]	[-1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1]	[521.0475997924805, 337.2857666015625, 874.4285278320312, 283.5714111328125, 391.0, 498.4287109375, 640.9047966003418]	[6898.2946324207805, 4981.153160069699, 3804.7730955503553, 931.0071822624512, 1227.1286072089617, 2571.3595323937107, 4268.915901052495]	[13239.27916598827, 14768.34676499694, 4351.153895886175, 3283.1489554721297, 3138.4363355727924, 5158.931409784184, 6660.764474999747]
